Municipality,Occupation,Municipality_code,Municipality_name,Year,Nurse_man_years,County_code
5046 Høylandet,Nurses,5046,Høylandet,2016,,50
5046 Høylandet,Nursing professionals,5046,Høylandet,2016,,50
5047 Overhalla,Nurses,5047,Overhalla,2016,,50
5047 Overhalla,Nursing professionals,5047,Overhalla,2016,,50
5049 Flatanger,Nurses,5049,Flatanger,2016,,50
5049 Flatanger,Nursing professionals,5049,Flatanger,2016,,50
5052 Leka,Nurses,5052,Leka,2016,,50
5052 Leka,Nursing professionals,5052,Leka,2016,,50
5053 Inderøy,Nurses,5053,Inderøy,2016,,50
5053 Inderøy,Nursing professionals,5053,Inderøy,2016,,50
5054 Indre Fosen,Nurses,5054,Indre Fosen,2016,,50
5054 Indre Fosen,Nursing professionals,5054,Indre Fosen,2016,,50
5055 Heim,Nurses,5055,Heim,2016,,50
5055 Heim,Nursing professionals,5055,Heim,2016,,50
5056 Hitra,Nurses,5056,Hitra,2016,,50
5056 Hitra,Nursing professionals,5056,Hitra,2016,,50
5057 Ørland,Nurses,5057,Ørland,2016,,50
5057 Ørland,Nursing professionals,5057,Ørland,2016,,50
5058 Åfjord,Nurses,5058,Åfjord,2016,,50
5058 Åfjord,Nursing professionals,5058,Åfjord,2016,,50
5059 Orkland,Nurses,5059,Orkland,2016,,50
5059 Orkland,Nursing professionals,5059,Orkland,2016,,50
5060 Nærøysund,Nurses,5060,Nærøysund,2016,,50
5060 Nærøysund,Nursing professionals,5060,Nærøysund,2016,,50
5061 Rindal,Nurses,5061,Rindal,2016,,50
5061 Rindal,Nursing professionals,5061,Rindal,2016,,50
1505 Kristiansund,Nurses,1505,Kristiansund,2017,112.0,15
1505 Kristiansund,Nursing professionals,1505,Kristiansund,2017,21.0,15
1506 Molde,Nurses,1506,Molde,2017,,15
1506 Molde,Nursing professionals,1506,Molde,2017,,15
1508 Ålesund,Nurses,1508,Ålesund,2017,,15
1508 Ålesund,Nursing professionals,1508,Ålesund,2017,,15
1511 Vanylven,Nurses,1511,Vanylven,2017,18.0,15
1511 Vanylven,Nursing professionals,1511,Vanylven,2017,2.0,15
1514 Sande,Nurses,1514,Sande,2017,20.0,15
1514 Sande,Nursing professionals,1514,Sande,2017,7.0,15
1515 Herøy (Møre og Romsdal),Nurses,1515,Herøy (Møre og Romsdal),2017,39.0,15
1515 Herøy (Møre og Romsdal),Nursing professionals,1515,Herøy (Møre og Romsdal),2017,1.0,15
1516 Ulstein,Nurses,1516,Ulstein,2017,33.0,15
1516 Ulstein,Nursing professionals,1516,Ulstein,2017,5.0,15
1517 Hareid,Nurses,1517,Hareid,2017,29.0,15
1517 Hareid,Nursing professionals,1517,Hareid,2017,1.0,15
1520 Ørsta,Nurses,1520,Ørsta,2017,67.0,15
1520 Ørsta,Nursing professionals,1520,Ørsta,2017,5.0,15
1525 Stranda,Nurses,1525,Stranda,2017,29.0,15
1525 Stranda,Nursing professionals,1525,Stranda,2017,1.0,15
1528 Sykkylven,Nurses,1528,Sykkylven,2017,46.0,15
1528 Sykkylven,Nursing professionals,1528,Sykkylven,2017,12.0,15
1531 Sula,Nurses,1531,Sula,2017,48.0,15
1531 Sula,Nursing professionals,1531,Sula,2017,5.0,15
1532 Giske,Nurses,1532,Giske,2017,43.0,15
1532 Giske,Nursing professionals,1532,Giske,2017,6.0,15
1535 Vestnes,Nurses,1535,Vestnes,2017,46.0,15
1535 Vestnes,Nursing professionals,1535,Vestnes,2017,6.0,15
1539 Rauma,Nurses,1539,Rauma,2017,47.0,15
1539 Rauma,Nursing professionals,1539,Rauma,2017,7.0,15
1547 Aukra,Nurses,1547,Aukra,2017,19.0,15
1547 Aukra,Nursing professionals,1547,Aukra,2017,6.0,15
1554 Averøy,Nurses,1554,Averøy,2017,32.0,15
1554 Averøy,Nursing professionals,1554,Averøy,2017,2.0,15
1557 Gjemnes,Nurses,1557,Gjemnes,2017,18.0,15
1557 Gjemnes,Nursing professionals,1557,Gjemnes,2017,2.0,15
1560 Tingvoll,Nurses,1560,Tingvoll,2017,10.0,15
1560 Tingvoll,Nursing professionals,1560,Tingvoll,2017,4.0,15
1563 Sunndal,Nurses,1563,Sunndal,2017,56.0,15
1563 Sunndal,Nursing professionals,1563,Sunndal,2017,10.0,15
1566 Surnadal,Nurses,1566,Surnadal,2017,35.0,15
1566 Surnadal,Nursing professionals,1566,Surnadal,2017,11.0,15
1573 Smøla,Nurses,1573,Smøla,2017,13.0,15
1573 Smøla,Nursing professionals,1573,Smøla,2017,2.0,15
1576 Aure,Nurses,1576,Aure,2017,23.0,15
1576 Aure,Nursing professionals,1576,Aure,2017,3.0,15
1577 Volda,Nurses,1577,Volda,2017,,15
1577 Volda,Nursing professionals,1577,Volda,2017,,15
1578 Fjord,Nurses,1578,Fjord,2017,,15
1578 Fjord,Nursing professionals,1578,Fjord,2017,,15
1579 Hustadvika,Nurses,1579,Hustadvika,2017,,15
1579 Hustadvika,Nursing professionals,1579,Hustadvika,2017,,15
1580 Haram,Nurses,1580,Haram,2017,,15
1580 Haram,Nursing professionals,1580,Haram,2017,,15
5001 Trondheim - Tråante,Nurses,5001,Trondheim - Tråante,2017,,50
5001 Trondheim - Tråante,Nursing professionals,5001,Trondheim - Tråante,2017,,50
5006 Steinkjer - Stïentje,Nurses,5006,Steinkjer - Stïentje,2017,,50
5006 Steinkjer - Stïentje,Nursing professionals,5006,Steinkjer - Stïentje,2017,,50
5007 Namsos - Nåavmesjenjaelmie,Nurses,5007,Namsos - Nåavmesjenjaelmie,2017,,50
5007 Namsos - Nåavmesjenjaelmie,Nursing professionals,5007,Namsos - Nåavmesjenjaelmie,2017,,50
5014 Frøya,Nurses,5014,Frøya,2017,,50
5014 Frøya,Nursing professionals,5014,Frøya,2017,,50
5020 Osen,Nurses,5020,Osen,2017,,50
5020 Osen,Nursing professionals,5020,Osen,2017,,50
5021 Oppdal,Nurses,5021,Oppdal,2017,,50
5021 Oppdal,Nursing professionals,5021,Oppdal,2017,,50
5022 Rennebu,Nurses,5022,Rennebu,2017,,50
5022 Rennebu,Nursing professionals,5022,Rennebu,2017,,50
5025 Røros - Rosse,Nurses,5025,Røros - Rosse,2017,,50
5025 Røros - Rosse,Nursing professionals,5025,Røros - Rosse,2017,,50
5026 Holtålen,Nurses,5026,Holtålen,2017,,50
5026 Holtålen,Nursing professionals,5026,Holtålen,2017,,50
5027 Midtre Gauldal,Nurses,5027,Midtre Gauldal,2017,,50
5027 Midtre Gauldal,Nursing professionals,5027,Midtre Gauldal,2017,,50
5028 Melhus,Nurses,5028,Melhus,2017,,50
5028 Melhus,Nursing professionals,5028,Melhus,2017,,50
5029 Skaun,Nurses,5029,Skaun,2017,,50
5029 Skaun,Nursing professionals,5029,Skaun,2017,,50
5031 Malvik,Nurses,5031,Malvik,2017,,50
5031 Malvik,Nursing professionals,5031,Malvik,2017,,50
5032 Selbu,Nurses,5032,Selbu,2017,,50
5032 Selbu,Nursing professionals,5032,Selbu,2017,,50
5033 Tydal,Nurses,5033,Tydal,2017,,50
5033 Tydal,Nursing professionals,5033,Tydal,2017,,50
5034 Meråker,Nurses,5034,Meråker,2017,,50
5034 Meråker,Nursing professionals,5034,Meråker,2017,,50
5035 Stjørdal,Nurses,5035,Stjørdal,2017,,50
5035 Stjørdal,Nursing professionals,5035,Stjørdal,2017,,50
5036 Frosta,Nurses,5036,Frosta,2017,,50
5036 Frosta,Nursing professionals,5036,Frosta,2017,,50
5037 Levanger,Nurses,5037,Levanger,2017,,50
5037 Levanger,Nursing professionals,5037,Levanger,2017,,50
5038 Verdal,Nurses,5038,Verdal,2017,,50
5038 Verdal,Nursing professionals,5038,Verdal,2017,,50
5041 Snåase - Snåsa,Nurses,5041,Snåase - Snåsa,2017,,50
5041 Snåase - Snåsa,Nursing professionals,5041,Snåase - Snåsa,2017,,50
5042 Lierne,Nurses,5042,Lierne,2017,,50
5042 Lierne,Nursing professionals,5042,Lierne,2017,,50
5043 Raarvihke - Røyrvik,Nurses,5043,Raarvihke - Røyrvik,2017,,50
5043 Raarvihke - Røyrvik,Nursing professionals,5043,Raarvihke - Røyrvik,2017,,50
5044 Namsskogan,Nurses,5044,Namsskogan,2017,,50
5044 Namsskogan,Nursing professionals,5044,Namsskogan,2017,,50
5045 Grong,Nurses,5045,Grong,2017,,50
5045 Grong,Nursing professionals,5045,Grong,2017,,50
5046 Høylandet,Nurses,5046,Høylandet,2017,,50
5046 Høylandet,Nursing professionals,5046,Høylandet,2017,,50
5047 Overhalla,Nurses,5047,Overhalla,2017,,50
5047 Overhalla,Nursing professionals,5047,Overhalla,2017,,50
5049 Flatanger,Nurses,5049,Flatanger,2017,,50
5049 Flatanger,Nursing professionals,5049,Flatanger,2017,,50
5052 Leka,Nurses,5052,Leka,2017,,50
5052 Leka,Nursing professionals,5052,Leka,2017,,50
5053 Inderøy,Nurses,5053,Inderøy,2017,,50
5053 Inderøy,Nursing professionals,5053,Inderøy,2017,,50
5054 Indre Fosen,Nurses,5054,Indre Fosen,2017,,50
5054 Indre Fosen,Nursing professionals,5054,Indre Fosen,2017,,50
5055 Heim,Nurses,5055,Heim,2017,,50
5055 Heim,Nursing professionals,5055,Heim,2017,,50
5056 Hitra,Nurses,5056,Hitra,2017,,50
5056 Hitra,Nursing professionals,5056,Hitra,2017,,50
5057 Ørland,Nurses,5057,Ørland,2017,,50
5057 Ørland,Nursing professionals,5057,Ørland,2017,,50
5058 Åfjord,Nurses,5058,Åfjord,2017,,50
5058 Åfjord,Nursing professionals,5058,Åfjord,2017,,50
5059 Orkland,Nurses,5059,Orkland,2017,,50
5059 Orkland,Nursing professionals,5059,Orkland,2017,,50
5060 Nærøysund,Nurses,5060,Nærøysund,2017,,50
